Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity,tokenid,ipfsnew
1514,1568,,,Wood,7.67%,Long Hexagon,0.33%,White,3.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Artistry,5.00%,164763197,https://ipfs.some.place/ipfs/QmQpPcCzTvQ4JDS5R5k6nYo5aqKhbY5TmF8i2G99Aufacc
2704,1569,,,Concrete,9.00%,Salted,0.33%,Rose,3.00%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Love,5.00%,164767995,https://ipfs.some.place/ipfs/QmTRZWmyj5wC8zVQBv8GbYoFRveVwr4NLJ5EhB4Cm2hMUF
89,1570,,,Fiber Glass,0.67%,Sharp,0.67%,Yellow,2.33%,Carrot,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%,164752089,https://ipfs.some.place/ipfs/QmbnCu2aUJqV3neeGT8KTNyNu3jnmBpgWbrmbvxuJj2Lpx
2253,1571,,,Snow,3.33%,Slush,0.33%,Brown,4.00%,Hourglass,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%,164766077,https://ipfs.some.place/ipfs/QmakqrRnHZFreBaFG3Cm9LdLAVNvWpzstQ2i3x9yX6Kbxp
479,1572,,,Concrete,9.00%,Circles,0.33%,Gray,5.33%,Wormhole,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Fairness,3.00%,164756251,https://ipfs.some.place/ipfs/QmWQERGb7pGFKpj2aCuuM3SMRFxfhKyASrL1tBuMwQYU2j
2312,1573,,,Ceramic,7.67%,Vintage,2.33%,Lime,0.33%,Hourglass,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%,164766142,https://ipfs.some.place/ipfs/QmVQ7K52i9g11YctJ1HNTEBFeC7gLrL2hZYx6YSZ1119Zs
299,1574,,,Plaster,5.67%,Half Timbered,0.33%,Eggshell,3.67%,Drillbit,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Charm,6.00%,164754228,https://ipfs.some.place/ipfs/QmYAv4TdTNGcu4KuuGR2i4RxxDwVHSvv1eFp3VSbHdrorc
1943,1575,,,Concrete,9.00%,Raked,0.33%,White,3.33%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Courtesy,5.00%,164764682,https://ipfs.some.place/ipfs/QmXhdSmz4LnsZD77hDmSDwtVNLcWnYykoedbjAsCw8WV2k
2169,1576,,,Concrete,9.00%,Raked,0.33%,White,3.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Patience,5.00%,164765753,https://ipfs.some.place/ipfs/QmTPFtUTTqSwHiNmwaqN5TkvDSzCTgPKr5PXZ3Myvai77k
579,1577,,,Concrete,9.00%,Mermaid,0.33%,Gray,5.33%,Edamame,10.00%,Salty,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Gratitude,4.00%,164757442,https://ipfs.some.place/ipfs/QmRw4qTGqUzGf1NjN5TcQKdFAp6MoD8oJGLfLZTHBdp9n1
2793,1578,,,Concrete,9.00%,Salted,0.33%,Rose,3.00%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Artistry,5.00%,164768586,https://ipfs.some.place/ipfs/QmYuydPqfH2FrY1rL7zshR1UdLFLVrXz6eu1AVF5Rgjpfj
2868,1579,,,Plaster,5.67%,Half Timbered,0.33%,Eggshell,3.67%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Love,5.00%,164769054,https://ipfs.some.place/ipfs/QmPFY5QReLrcbsqnmZU4xvuXZKcHxeYPL1sHCrpnJmfj7r
671,1580,,,Marble,10.33%,Terrazzo Tiles,0.33%,Yellow,2.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Elegance,12.00%,164758575,https://ipfs.some.place/ipfs/Qmcs9Uo4K4dE2G83VWpYumqem6ZK54t9rBpQDrsRKUumeX
2149,1581,,,Fabric,5.00%,Cloth,0.33%,Orange,3.67%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Charm,6.00%,164765463,https://ipfs.some.place/ipfs/QmVUqX3rmrPHrKmPbwZpNBGXLRsro42U858rcSvAkFry65
2846,1582,,,Plaster,5.67%,Drywall,0.33%,Eggshell,3.67%,Drillbit,10.00%,Bitter,18.00%,Plasma,8.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%,164768644,https://ipfs.some.place/ipfs/QmeYgM9nPWeZx4csvFCrwC7UxzcPLqZjoe8vb1kZGLGJJr
2236,1583,,,Marble,10.33%,Black Granite,0.33%,Black,3.67%,Beacon,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Boling,5.00%,Elegance,12.00%,164765827,https://ipfs.some.place/ipfs/Qmezv5cgoDkFmzGAYj8e5kwq65pdh4fZZCqU717BP1GvPG
692,1584,,,Concrete,9.00%,Raked,0.33%,White,3.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Wisdom,5.00%,164758872,https://ipfs.some.place/ipfs/QmeY9ntsvA7YukNVrrstwDBK1e852Vqje3zNT7oNEGLmQa
458,1585,,,Snow,3.33%,Slush,0.33%,Brown,4.00%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Elegance,12.00%,164755979,https://ipfs.some.place/ipfs/QmS1nqji5YNgpFpuXGzpkBpLpch1JpEfzPdcVFMSE6Nfi4
3000,1586,,,Concrete,9.00%,Salted,0.33%,Rose,3.00%,Hourglass,10.00%,Sour,21.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%,164770197,https://ipfs.some.place/ipfs/QmU2naNwoyNSVFKNUtBLpVMbFgf1v1133Ys3NBGc1tKVCJ
1520,1587,,,Concrete,9.00%,Hexagon,0.33%,Gray,5.33%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Honesty,3.00%,164763204,https://ipfs.some.place/ipfs/QmUsjrmWtDbHMjUUqRjbAoPWrwDwYzY2jnvNMjEQNbsZWT
2406,1588,,,Marble,10.33%,Polished Terrazzo,0.33%,Tan,4.67%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Sympathy,3.00%,164766543,https://ipfs.some.place/ipfs/Qme8kpfW3Ss1uCJJerPjuFoTFHcpGnqSJP82fTmc4aJT1s
109,1589,,,Wood,7.67%,Long Hexagon,0.33%,White,3.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Wisdom,5.00%,164752278,https://ipfs.some.place/ipfs/QmPGN63rHQQtZNN8f5PnpEMbjXBmHzh4Bt6MQDYpFY445a
1730,1590,,,Concrete,9.00%,Pebble Grid,0.33%,Gray,5.33%,Hourglass,10.00%,Salty,30.00%,Condensate,10.00%,Mild,40.00%,Boling,5.00%,Elegance,12.00%,164763891,https://ipfs.some.place/ipfs/QmSe4QxUfuJiWQGhNgUStDxyET22HQvLAt31SXqxDLQrjM
293,1591,,,Leather,2.00%,Snake Skin,1.00%,Camo,0.67%,Classic,10.00%,Bitter,18.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Humanity,2.00%,164754222,https://ipfs.some.place/ipfs/Qma7HXi6gtBW2EXzczCsrrth8o6GjSmdAwg2DjLaYag7GT
